id,helpfulness,fluency,factuality,safety,diversity,creativity,values,confidence,formatting,sycophancy,repetition
pair_00,0.0000,0.0000,0.0000,0.0000,0.0500,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000
pair_01,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
pair_02,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.1000,0.0000,0.1000,0.0000
pair_03,0.0000,0.0000,0.0000,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0500,0.0000
pair_04,0.0500,0.0000,0.0500,0.0000,0.1000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000
pair_05,0.0000,0.0000,0.0000,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.2000,0.0000
pair_06,0.1000,0.0000,0.1000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.4000,0.0000
pair_07,0.0000,0.0000,0.0000,0.0000,0.0500,0.2000,0.0000,0.0000,0.0000,0.0000,0.1500
pair_08,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
pair_09,0.1000,0.0000,0.1000,0.0000,0.1000,0.1000,0.1000,0.2000,0.0000,0.0000,0.0000
pair_10,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
